trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.497, 'e': 0.996}",20,0,-171.28690387136746,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 3}",0
2,False,"{'a': 0.494018, 'e': 0.992}",30,0,-153.32921595776781,"{0: 21, 1: 2, 2: 3, 3: 1, 4: 3}",0
3,False,"{'a': 0.491053892, 'e': 0.988}",25,0,-144.99030282306316,"{0: 12, 1: 6, 2: 3, 3: 3, 4: 1}",0
4,False,"{'a': 0.488107568648, 'e': 0.984}",30,0,-126.64738702443776,"{0: 17, 1: 5, 2: 6, 3: 1, 4: 1}",0
5,False,"{'a': 0.485178923236112, 'e': 0.98}",30,0,-103.04645213397234,"{0: 17, 1: 5, 2: 6, 3: 2, 4: 0}",0
6,False,"{'a': 0.48226784969669534, 'e': 0.976}",35,0,-167.45986287364127,"{0: 18, 1: 5, 2: 8, 3: 4, 4: 0}",0
7,False,"{'a': 0.4793742425985152, 'e': 0.972}",25,0,-218.3997798204227,"{0: 9, 1: 2, 2: 10, 3: 2, 4: 2}",0
8,False,"{'a': 0.47649799714292407, 'e': 0.968}",20,0,-90.85653998689264,"{0: 11, 1: 3, 2: 3, 3: 3, 4: 0}",0
9,False,"{'a': 0.4736390091600665, 'e': 0.964}",25,0,-206.88122075221804,"{0: 10, 1: 2, 2: 9, 3: 2, 4: 2}",0
10,False,"{'a': 0.4707971751051061, 'e': 0.96}",30,0,-191.07382618444692,"{0: 18, 1: 2, 2: 6, 3: 1, 4: 3}",0
11,False,"{'a': 0.46797239205447544, 'e': 0.956}",25,0,-127.46598845231351,"{0: 16, 1: 1, 2: 4, 3: 3, 4: 1}",0
12,False,"{'a': 0.4651645577021486, 'e': 0.952}",25,0,-170.41613547266775,"{0: 12, 1: 4, 2: 5, 3: 2, 4: 2}",0
13,False,"{'a': 0.4623735703559357, 'e': 0.948}",25,0,-52.174212023192624,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
14,False,"{'a': 0.45959932893380007, 'e': 0.944}",20,0,-135.29306472397448,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
15,False,"{'a': 0.45684173296019726, 'e': 0.94}",20,0,-112.25463687162424,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
